tên,mô_tả,icon,điều_kiện
Người mở đường,Hoàn thành bài học đầu tiên và bắt đầu hành trình triết học,🚀,complete_first_lesson
Người giữ nhịp,Duy trì chuỗi học tập 3 ngày liên tiếp,🔥,streak_3_days
Nhà phản tư,Viết 3 reflection journal có nội dung thực chất,📝,reflection_3
Người hỏi sâu,Trả lời hoặc lưu 5 câu hỏi phản tư quan trọng,❓,critical_question_5
Người kể chuyện,Hoàn thành một story scenario và xem hệ quả lựa chọn,📖,complete_story
Nhà tranh biện,Tham gia debate bằng một lập luận có căn cứ,⚖️,debate_argument_1
Người luyện trí,Hoàn thành 3 quiz với kết quả hợp lệ,🧠,quiz_3
Bậc thầy mini game,Chơi mini game và đạt điểm từ 80 trở lên,🎮,minigame_score_80
Người kết nối khái niệm,Mở và học mindmap của một chủ đề,🕸️,mindmap_view_1
Triết gia tập sự,Hoàn thành đủ 5 loại hoạt động học tập chính,🏛️,complete_core_loop
