tên_chủ_đề,mô_tả,phân_loại,độ_khó
Chủ nghĩa Mác-Lênin,"Hệ thống triết học, kinh tế và chính trị do Marx, Engels và Lenin xây dựng — đặt câu hỏi về quyền lực, lao động và cách xã hội vận hành. Một trong những tư tưởng gây tranh cãi và ảnh hưởng nhất lịch sử nhân loại.",Chính trị,Trung bình
Triết học phương Đông,"Bao gồm Nho giáo, Đạo giáo và Phật giáo. Tập trung vào sự hài hòa giữa con người với vũ trụ, đạo đức cá nhân và con đường đạt đến sự giác ngộ hoặc bình yên trong tâm hồn.",Đạo đức học,Trung bình
Chủ nghĩa Khắc kỷ,"Triết lý giúp bạn bình thản trước mọi biến cố, bắt nguồn từ Hy Lạp cổ đại. Dạy cách phân biệt giữa những gì ta có thể kiểm soát và những gì không thể.",Đạo đức học,Dễ
Chủ nghĩa Hiện sinh,"Nhấn mạnh tự do cá nhân, trách nhiệm và sự sáng tạo ý nghĩa cho cuộc sống trong một vũ trụ dường như vô nghĩa. Với các đại diện như Sartre, Camus và Nietzsche.",Đạo đức học,Trung bình
Chủ nghĩa Khoái lạc (Epicureanism),"Triết lý của Epicurus cho rằng mục đích của cuộc sống là đạt được hạnh phúc thông qua sự vắng mặt của đau đớn về thể xác và sự thanh thản trong tâm hồn.",Đạo đức học,Dễ
Nhận thức luận,"Nghiên cứu về bản chất, nguồn gốc và giới hạn của tri thức. Đặt câu hỏi: Làm sao ta biết được những gì ta cho là ta biết?",Nhận thức luận,Khó
Triết học chính trị,"Nghiên cứu về các khái niệm cốt lõi như tự do, công lý, tài sản, quyền lực, luật pháp và sự hợp pháp của chính quyền.",Chính trị,Trung bình
Triết học tâm trí,"Khám phá bản chất của tâm trí, ý thức, và mối quan hệ giữa tâm trí với thể xác (bộ não). Đặt ra các vấn đề về AI và tự do ý chí.",Siêu hình học,Khó
Mỹ học,"Nghiên cứu về bản chất của cái đẹp, nghệ thuật và hương vị. Đặt câu hỏi tại sao một thứ lại được coi là đẹp và giá trị của nghệ thuật là gì?",Mỹ học,Dễ
Chủ nghĩa Thực dụng,"Triết lý đánh giá tính đúng đắn của hành động dựa trên hậu quả của nó. Hành động tốt nhất là hành động mang lại hạnh phúc lớn nhất cho số đông.",Đạo đức học,Trung bình
