chủ_đề,câu_hỏi,loại
Triết học và thế giới quan,Thuật toán mạng xã hội đang định hình 'thực tại' bạn thấy mỗi ngày. Điều này bác bỏ hay củng cố quan điểm ý thức là sản phẩm của điều kiện vật chất-xã hội?,tự_luận
Triết học và thế giới quan,"Nếu không thể phân biệt video thật và deepfake, bạn còn tin vào điều gì — và trên cơ sở nào?",tình_huống_đạo_đức
Vấn đề cơ bản của triết học,"Nếu vật chất quyết định ý thức, tại sao người xuất thân nghèo đôi khi bảo vệ hệ thống bất công hơn người giàu? Điều này chứng minh hay bác bỏ duy vật?",tình_huống_đạo_đức
Vấn đề cơ bản của triết học,Premise 1: Mọi hiện tượng đều có nguyên nhân vật chất. Premise 2: Ý thức là hiện tượng. Kết luận: Ý thức có nguyên nhân vật chất. Lập luận này hợp lệ về mặt logic không?,logic
Chủ nghĩa duy vật và chủ nghĩa duy tâm,ChatGPT trả lời như hiểu triết học. Bạn có coi đó là 'ý thức' không — và tiêu chí của bạn là gì?,tự_luận
Chủ nghĩa duy vật và chủ nghĩa duy tâm,Một nhà khoa học tin vào Chúa vì trải nghiệm cá nhân. Duy vật biện chứng giải thích thế nào mà không rơi vào duy tâm chủ quan?,tình_huống_đạo_đức
Điều kiện ra đời triết học Mác,"Triết học Mác ra đời từ bối cảnh công nghiệp thế kỷ XIX. Với AI và lao động nền tảng, phạm trù 'giai cấp' và 'giá trị thặng dư' còn phù hợp không?",tự_luận
Điều kiện ra đời triết học Mác,"Nếu một học thuyết chỉ đúng trong hoàn cảnh lịch sử cụ thể, nó có còn là 'chân lý khoa học' theo nghĩa phổ quát không?",logic
Phép biện chứng và phương pháp siêu hình,Mâu thuẫn nào trong cuộc sống bạn đang cố dập tắt thay vì để nó thúc đẩy phát triển?,tự_luận
Phép biện chứng và phương pháp siêu hình,Phép biện chứng nói mâu thuẫn thúc đẩy phát triển. Chiến tranh cũng là mâu thuẫn. Vậy chiến tranh có phải 'phát triển' không?,logic
Phép biện chứng và phương pháp siêu hình,Bạn bè kêu gọi 'hủy' một người trên mạng vì phát ngôn sai. Dùng phép biện chứng: đây là đấu tranh ý thức hay bạo lực tượng trưng?,tình_huống_đạo_đức
Cuộc cách mạng triết học của Mác và Ăngghen,"Triết học phải cải tạo thế giới — ai có quyền quyết định thế giới 'nên' thế nào, và nếu sai ai chịu trách nhiệm?",tình_huống_đạo_đức
Cuộc cách mạng triết học của Mác và Ăngghen,Liên Xô sụp đổ có phủ nhận triết học Mác không? Trình bày lập luận có cấu trúc (tiền đề → kết luận).,logic
Chức năng của triết học Mác-Lênin,"Bạn học môn triết học chủ yếu vì điểm số hay vì phương pháp tư duy? Nếu trung thực là 'điểm số', điều đó có mâu thuẫn với thông điệp giáo trình không?",tự_luận
Chức năng của triết học Mác-Lênin,"Một kỹ năng chuyên ngành giúp bạn có việc làm ngay; triết học không. Trong 10 giờ học thêm mỗi tuần, bạn phân bổ thế nào — và vì sao?",tình_huống_đạo_đức
Triết học Mác-Lênin với đổi mới Việt Nam,Đổi mới 1986 là điều chỉnh hay phủ định biện chứng mô hình cũ? Câu trả lời của bạn phụ thuộc góc độ nào?,tự_luận
Triết học Mác-Lênin với đổi mới Việt Nam,"Tăng trưởng GDP cao nhưng bất bình đẳng tăng: theo phép biện chứng, đây có phải mâu thuẫn cần giải quyết — không phải 'giá phải trả' bắt buộc?",tình_huống_đạo_đức
Triết học Mác-Lênin với đổi mới Việt Nam,Premise: Đổi mới mở thị trường. Premise: Thị trường tạo bất bình đẳng. Kết luận: Đổi mới gây bất bình đẳng nên nên quay lại kế hoạch hóa. Lập luận này thiếu bước nào?,logic
Vấn đề cơ bản của triết học,"Khi bạn chọn giữ im lặng với quan điểm gia đình để tránh xung đột, bạn đang ưu tiên vật chất (hòa khí) hay ý thức (lập trường)?",tự_luận
Chức năng của triết học Mác-Lênin,"Nếu phương pháp biện chứng đúng, tại sao hai người cùng áp dụng vẫn đưa ra kết luận chính trị trái ngược?",logic
